"","ens_gene","target_id","pval","qval","b","se_b","mean","var","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"6141","WBGene00012260","W04G3.7",0.299753911631403,0.819042699066921,0.312206530027935,0.301078296555707,2.8851227641902,0.0594889151785264,0.0743039239583721,-0.0364951240072454,0.0616682870269576,0.0616682870269576
"6142","WBGene00007551","C13C4.7",0.299676460431029,0.819042699066921,0.195025937073814,0.188044329276353,3.88059574392191,0.0247224666813099,0.0269133737833127,-0.0102734589809948,0.0261276308761776,0.0261276308761776
"6143","WBGene00011914","T22C1.3",0.29958156735859,0.819042699066921,0.072641215241752,0.0700270278759077,7.70769058033625,0.00746756540529934,0.000433012428244582,0.00692266452145514,0.00469892146756133,0.00692266452145514
"6144","WBGene00020653","T21E3.2",0.299941386099138,0.819042699066921,0.26687666969882,0.257464018712129,3.12034716074964,0.0535394722716186,0.050369272421143,-0.0101536158926947,0.049062308975956,0.049062308975956
"6145","WBGene00016250","hsp-110",0.300131615935268,0.819090816385539,-0.12251669871776,0.1182421063992,9.54925783699546,0.0212805373102728,6.20660324376427e-05,0.0209097275561418,0.00579531772215724,0.0209097275561418
"6146","WBGene00009940","strl-1",0.300164018619406,0.819090816385539,0.0642418757539807,0.0620046415173138,7.78213133876827,0.00585159626374575,0.000346123865251636,0.00542073948928426,0.00470353245921355,0.00542073948928426
"6147","WBGene00013730","sql-1",0.300081154601112,0.819090816385539,-0.0606025119135495,0.0584819916084502,7.71079797979686,0.00468789053205864,0.000431244384499103,0.00405136961173727,0.00469897062923715,0.00469897062923715
"6148","WBGene00010357","H03A11.2",0.300558593166168,0.819156514735014,0.177553157692635,0.171509795540476,7.62900189524017,0.0447562691015909,0.000502672705138806,0.0436207422443651,0.00470220214809774,0.0436207422443651
"6149","WBGene00008919","vps-36",0.300296912967254,0.819156514735014,0.0610240462435308,0.0589150704741141,7.79411724961768,0.00261016500016386,0.00050156506258206,0.00136466585514807,0.00470491323087269,0.00470491323087269
"6150","WBGene00011232","pck-2",0.300355482448468,0.819156514735014,-0.0661756485289456,0.0638963770913981,9.77586740357731,0.00307874507855282,6.52190666734014e-05,0.00214100610968266,0.00605890144143582,0.00605890144143582
