"","gene_name","X","threshold","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"129310","ten-1","WBGene00006498","2",31.3512185520392,109.071544450585,77.5018141630891,0,11.1694067705611,0,0,259.591733877978,0,38.4989014546091,59.5747958696831,0,0,0,134.324579069833,0,0,0,0,0,0,0,0,0,0,0,390.475620689864,100.593920093493,0,0,0,0,0,151.774819340583,0,0,75.0164450880821,0,0,0,18.5066783780757,124.714227198551,0,0,0,0,0,112.252565494982,0,150.157749114866,0,0,327.461604576477,0,0,0,28.8698888889478,253.033115755816,0,0,0,0,0,0,0,0,0,66.3507456611547,0,36.1412097118272,0,129.14478940849,19.1714014879989,0,67.4208302534018,0,0,123.801990099313,0,74.7336620834986,80.6734186938813,417.854465900234,12.5117458225108,32.7074783165242,245.709945185006,0,0,46.9199311000778,31.1768634093671,67.0624271199478,87.2192080992016,55.6798461479467,0,0,0,24.1750736954359,206.808334113791,0,0,298.858272428349,0,0,311.951730461852,68.0367224610943,304.041979238271,0,85.8104391914418,52.538833388137,197.944567025831,0,0,0,0,61.590325473801,339.432093813849,51.4798349795262,0,146.273112589991,375.589675542685,0,0,0,0,0,0,0,65.3408530566477,0
"18712","igcm-3","WBGene00020160","2",30.3088413519601,0,4.83485446824854,0,0,4.19888668426694,23.4883102631567,50.4414026269242,0,4.24001504271722,63.4841621417223,0,5.93397493887852,0,25.4120119925241,0,1.47331136026411,0,3.49333500715342,2.34737317749396,0,0,2.43169058617532,7.06942525029798,18.7574268829457,0,0,17.2028817085556,175.259190220239,46.7957605974741,47.2835960549704,27.6434883934154,5.47800883194412,17.1465116013375,9.1602910554996,3.99415317125218,0,3.84729803663463,0,1.4502318670565,9.21639603095957,0,36.3467107948026,31.2111058725745,0,16.8275150494579,18.6892161603543,2.93856368024418,0,3.08234873340931,0,11.132762811131,13.8753992085865,16.9360352041143,0,4.15320657889062,13.5042433982451,75.7307958057781,0,5.61349473242071,11.7160461534181,0,6.69493960118249,6.56023857654752,0,0,25.5654049943937,26.0567314362522,40.2877966787804,104.12159559956,0,0,31.1050041124684,0,0,0,14.3009655487205,27.2859365729147,15.2474798106374,3.99726096265551,0,6.15660719378417,44.960578315338,48.9177176099934,0,0,0,60.2362826304875,8.63422364602523,4.64556199528302,27.568917371055,5.5598337112377,17.8802399492123,16.2652988491294,22.421788194549,10.0767333756408,0,0,0,52.605906097422,3.59243780583317,14.8767509028691,9.42409853220084,10.2630893258558,0,0,18.1861364802323,0,23.2156831807739,0,0,0,0,7.60752204712183,5.3495870079973,14.5964560547137,33.4511872001913,0,11.600776441387,0,23.8360766122084,98.7936510579727,19.8809601385276,21.5096717026582,12.3861948602403,8.48482683412151,22.3663649360427,0
"21551","vab-3","WBGene00006870","2",487.5449107986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9798480580238,0,0,0,0,0,0,147.766879497481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.479777168136,0,0,184.070158540083,0,0,0,0,10.5024002383615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.316719880662,193.039471372178,0,0,0,0,0,0,0,0,0,0,0,19.2134082501825,0,0,0,0,0,0,0,0,0,0,173.108392796645,0,0,0,0,0,14.9815506147623,272.642173766082,0,0,0,0,0,0,0,0,0,0,0,96.4992351251141,52.9807298663357,0,847.188505553844,374.698542400171,0,874.5956486987,0,0,0,0,0,0,0,0
"34772","ugt-64","WBGene00015577","2",1.04122243912535,2.86069737179493,2.06199817625412,1.64198682181133,0,0,2.52360088445168,0,3.91839030964554,5.2029810983195,0,0,2.37341979323141,0,0,0,0,4.56415406420546,4.80556785057669,1.3709062901077,3.59946600050213,1.56990605402399,3.72260537467577,9.40024013550935,0,1.52877489035629,0,14.2512842905277,4.46334342186161,2.91315379118067,2.5896917649884,3.8845409798421,0,1.75759188539114,0,2.24279106617892,2.46166167388611,0,1.82311221749698,3.72280846002063,0,9.12268310536794,0,9.76905763767835,0,25.589231509495,16.3349585329715,0,12.4789995602131,0,14.5161162130401,3.73253882834456,0,0,0,26.6551719758642,13.9381862214274,0,0,4.47364963000587,1.26850397687864,0,5.65732558214559,19.0732839395531,96.211818571334,0,12.3879338589346,14.3434345648294,20.996499201942,33.5088545106763,0,0,0,7.07479381284908,2.63446481524318,24.154792347958,0,0,5.1739974957576,2.45401442275922,7.38135573880362,4.7360471617581,0,0,0,0,16.3873823456629,0,0,3.7317593782912,1.06909286562448,2.37073125627367,0,0.751542590995113,0,0,0,0,0,0,0,0,12.9213234071371,1.24417225494219,0,0,8.37775174345414,19.5853562622033,0,14.1306149640437,0.961475562436924,0,0,0,10.1407162811219,0,3.99956905276825,0,0.957874248184077,0,1.13298704710573,0,5.8647481336764,13.2685826183048,5.57425601913963,4.09827394501533,9.34673483413939,5.58941864343681
"34901","nlp-27","WBGene00003765","2",16.7497493177836,0,5.25646630736821,0,2.45027555484076,0,0,0.917618414873657,8.52731836828829,4.18994663025063,0,84.0383580438024,0,0,0,0,0,0,2.06631812353526,0,2.24496078886274,0,0,0,2.2262476348458,5.88030926455565,1.2563009123406,4.52287837374729,48.6142540273035,1.35348241783633,2.32597956327896,0,0,30.4702289328478,0,0.845456220306096,0,0,8.7143831930469,0,9.65824065421875,5.68322315114791,23.5184210235857,1.14836811350148,0,1.81402342226611,0,0,0,9.93289527407074,38.8546659401873,0,29.1523538927878,0,0,6.48115664541915,0,0,0,0,1.67897479505435,77.009477306882,0,2.79699294157774,0,0,0,4.487224320702,0,0,0,89.8251729718573,0,0,0,5.96972022722118,0,0,2.49778773230876,3.46292979240747,0,0,0,0,0,0,0.773962099999859,0,0,0,2.07349733123389,17.7444931117945,3.04669710052679,0,2.73796749675977,0,0,3.20078324723968,0,0,0,10.4119995911346,9.64150656468015,0,43.3841226153615,0,23.0024173418902,0,0,0,0,4.26531744399734,3.44150755213853,3.63852315062783,1.75552275619659,1.88052962299813,0,60.2522562834831,4.96878260804058,0,0,9.79286840097246,0,0,2.42642711411677,0,0,2.91507935903321
"37271","T06E4.12","WBGene00044011","2",4.94113043716672,0,22.9978368499758,0,2.36646902861722,0,0,0.676833981485391,0,21.2904365436116,0,0,0,0,0,13.7762395539917,0,0,15.6486580259917,0,0,0,0.850648870385061,0,0,1.57146195863125,0,0,2.41439919330232,4.70335140198125,0,0,0,0,0,7.94819270212897,0,99.2591253968289,0,0,13.8490289840665,17.8915122249946,0,0,0,0,0,0,0,0,0,17.9195395438553,45.297267371529,0,0,1.38316216136475,0,0,0,1.25420596572818,3.30653779279946,0,0,0,0,0,0,18.5689172114887,0,15.477166845466,0,0,0,0,0,0,14.112089919288,0,0,0,259.823722005887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47874153525173,0,0,15.6289019767102,0,3.37605970004975,0,0,0,0,4.83150449047779,0,0,0,0,0,0,0,2.63133436888294,0,0,0,0,0,0,0,0,0,0,0
"38232","scb-1","WBGene00010407","2",45.8659895121325,7.47497958809143,28.2659480497342,50.6084912900052,26.407858023652,66.131480090463,29.2293724501621,21.590370168247,70.4226207334396,75.4482383511298,23.9451762303705,41.149563836598,14.7019281145757,0,12.5495815835371,19.4710224514115,18.4962604486222,46.635591637273,32.3315798930205,12.4978445980916,35.3966953745582,35.036449518032,22.6787263911914,33.2946360231028,39.8907982142262,24.2962241470244,17.3953263177034,26.1285420974112,4.7948262210441,2.00379956550588,16.3433188674177,41.2823090463862,10.5853388115106,24.517576227087,3.76114071771068,48.9288897972766,137.409687021615,71.5001744027769,85.6634304440986,22.2559236130931,25.762426581279,67.3688515891021,26.6945916767869,7.97250789497724,0,21.9114711873903,8.83236607044968,41.4182282755927,55.5381890672475,37.7994804508347,3.46399891621399,17.5297006541074,29.8197685165561,0,0,0,15.342388597036,0,91.7233575865794,38.8910855209757,12.9525242869063,30.4891883829105,0,0,132.456353104746,49.4266508501384,72.3625130393029,28.0969408578355,19.4681431513784,9.75192849402139,121.93401236123,94.5252570259424,0,5.74617151714793,0,63.1715784220429,67.0882008606765,28.4000134625827,5.48227576750097,31.1323879448495,18.3529545407524,29.3194106958861,19.3895963099375,5.95908288570919,0,25.3301324897534,4.36127699745082,20.6095182589984,0,29.095762804282,64.0142799463033,54.327908412634,41.1670126307282,2.34941513314922,66.5099845013364,19.7329429207266,4.79928662384598,29.3966038622562,87.7935703795503,0,7.72653236294304,34.762045289992,28.093827719462,87.2607776219472,74.5346190970802,294.657950849983,21.8671631195931,26.2826328875127,68.1667738539642,23.3334635087558,8.54895592721786,50.1935759660381,50.7014047230774,54.4465880265072,22.7561154383616,38.2354028522441,25.0505146773094,18.2407322040455,11.9781066542125,51.8993112656105,27.395746401967,0,26.9096593554997,26.7644075675713,33.4448519134586,10.6345939328044,22.8667960564537,49.2128490772529
"40832","Y17D7C.3","WBGene00045366","2",211.297888573735,272.590101546491,104.022333883819,63.8970792937574,53.0316759536873,196.603795305292,99.450190710214,109.53930109017,367.195020846859,214.58262806732,142.015530357464,101.481193519098,101.745753317467,550.179895107069,141.251609761509,181.25250515892,65.7288296051346,102.010803850496,107.6509570874,114.80318183252,126.190709240618,138.244654551762,56.3312233353019,485.273264595251,201.934886433288,136.600798002132,135.821265112838,183.002631036036,106.787076656515,251.639113281874,181.843048920669,164.451822292642,40.9115125050059,135.953603241737,18.7493404330169,179.488164793291,128.954722253223,76.3979599502575,148.964373659033,34.0317828142691,91.3074471953463,120.157543402122,225.579929234473,138.640175481204,199.172857143177,185.957302998638,152.929618087715,36.0583670682295,339.832600902067,578.045940416905,198.889425020244,444.639143428833,187.899240016438,483.604703703407,197.585933403454,222.938185649754,145.337745901026,684.358574935025,148.904417897696,99.5558534618205,182.9507389851,360.409977805578,313.659443500544,156.767387585698,216.902066974588,1052.48919106817,335.125553249223,104.408253613258,180.710844600035,400.378648566154,477.936738047552,112.660674676358,149.676874732631,352.797013351947,286.131588345401,182.103697470462,252.61911553822,608.277388863316,25.0101611514578,187.796941592491,268.617416366598,199.36858653625,178.265415990802,12.8823261510948,0,133.409405115842,95.0347094923122,43.8246446263591,21.7448350864571,91.9745125053579,482.134862061801,165.850542005118,196.068086509544,167.91116771402,229.983153359751,92.5587644725661,129.303930982463,116.240099072669,135.161991133354,371.819838494302,52.8146208562722,116.588350786202,475.70886069373,290.07616759006,114.715655417161,277.366684805592,548.333342269417,91.3950003126491,200.054972851988,337.987397554882,158.129927440243,53.2150320584662,176.367088530745,299.835654383646,306.948429566849,204.207723994227,329.893428940725,130.10920287508,106.293474124404,603.604318571759,221.320270483219,189.155206250284,147.403940524988,76.8786785353263,133.296374180951,432.163006040006,283.599447396723,98.1588934908525
"42152","Y59C2A.3","WBGene00021986","2",29.9450284317073,26.8216232436135,28.4632737195976,10.3524261588193,21.2718354885369,59.0437966956664,20.800577663742,58.1856986337418,15.5270503754243,19.6828947032538,57.6317484783267,15.8010634692587,30.4643729355836,0,11.4952916770659,54.1030853010321,62.9352940998068,36.7996407644462,26.9050657525783,33.0838878514098,20.245129782301,18.9366063863306,44.7500207901024,27.3545419269221,38.1485683249443,15.9249392822943,26.0226136343176,30.7216076651227,27.9809289281724,40.7552939019331,24.281744020263,29.5847927442385,5.71924622318242,39.4316687978504,20.7405996417512,9.15518864989176,0,40.9379627770545,25.6319110904668,6.26743564745912,31.8513351529064,36.061138599801,47.7388404362595,67.8681637536909,87.7093362114871,101.776234204601,79.7626903662736,19.0630776419561,68.477497886423,25.1880605180985,33.5627015536665,71.9115155304001,44.4138084041374,41.0535897250306,52.7468621645292,67.633806588671,44.0623467241247,0,0,59.9399086454316,38.1460634790451,27.8655777966717,44.9108642482088,63.1300397278814,16.6799467195119,0,52.987441557564,48.7634062002225,59.9407786586373,53.5334652653262,0,0,78.6698284084153,12.820965329997,84.2678036451929,0,83.8434238925578,46.3843071345366,39.1584433094343,83.853858539861,56.6300178370346,27.7297421495496,20.2902221013534,100.193055530271,0,28.7721125725355,29.9368459431673,20.8747017638999,25.1756362236602,21.3930438201174,45.1043853052437,50.6572364171475,37.7765800721343,32.3931262699468,18.3013037883765,41.6328654428777,40.1681365270542,13.8746896952011,12.2491322264617,51.563727370548,34.9405239289305,0,19.6060321205123,54.5299745672296,128.809829946965,0,34.4105662436117,11.5646271723755,107.754090729619,87.743358818877,62.8255874163116,19.6943304936814,47.4079227146674,60.4666441903491,40.3852387689953,32.1534813812696,37.2363738792178,50.0092166520454,16.778393691157,46.7292649326378,43.2656464016292,185.745341258257,98.3070180134957,100.847147832823,80.6060164589646,46.0698344879542,32.4309429255901,57.1884281144693
"42441","T10D4.6","WBGene00020408","2",4.55894355252399,6.18153726469799,5.14599942788528,1.53243191595192,3.20672354624093,0,6.43515685604711,0,10.48917810895,4.72995489217878,6.97208303018791,3.42696758585186,7.71714864641162,0,7.10206231732594,31.5097806884942,0,0,7.90874460617874,2.93429384703471,4.68602603965195,13.6260943985387,10.6347360512553,0,28.7556179102018,1.60662009058707,9.54265105013077,0.898083340104466,52.1811963668504,5.57434240234815,5.28935833563052,8.29056097033076,0,38.4101888862272,7.96974249471643,1.36300673794605,14.9225523784749,1.59595102288283,8.64422489585945,9.78521629194383,15.4230126871214,8.4274516360726,9.34276099336305,19.0557673121337,51.0162487599747,8.57660574772741,13.8795915306546,0,3.56194446538418,7.62657658246592,9.07257263315008,10.0382172392551,13.8383192623469,0,0,8.1428906078947,8.76755687091339,0,45.7400297779229,1.32300961043474,4.88043081498741,0,1.45426284295087,2.14520412354897,141.411607114685,0,1.04221554114483,4.83717212912433,6.29697848456335,14.6809143982104,0,0,0,13.8805907037396,8.31734993018595,13.4948573090621,0,0,8.1671960329048,0.86051496223844,0,3.56660277187685,0,0,0,2.61842601158939,18.7891678755369,0,0,9.18180107989044,5.79805826155014,4.38347022552884,0,1.0769583670672,0,2.93185293523962,0,5.66861836007622,5.72962296637188,0,0,0,4.59501407119229,1.13525675879394,0,0,0,0,5.1827819325745,11.8863408226956,30.7654532698564,0,3.98127327950702,5.20694662006057,11.1182453120743,5.66708749992873,2.26472918988493,7.13508162594329,13.0351513043509,0,6.47731659725579,0,5.7110422198935,11.0453206241955,7.89457555677629,2.24352800361801,10.3207629905392,0
