mz,Formula,SMID,attachments on glucose,anomeric,acylation1_2C,acylation2_6C,class_2C,class_6C,Stable isotope labeling,rt_minutes,cest-1.2_A,cest-1.2_B,cest-1.2_C,cest-1.2_D,cest-2.1_A,cest-2.1_B,cest-2.1_C,cest-2.1_D,N2_A,N2_B,N2_C,N2_D
552.12709,C24 H28 O12 N P,bzglu#4,benzoic acid nicotinic acid isovaleric acid,benzoate,pyrrolic_acid,isovaleric_acid,AA,SCFA,,8.98,2199.02135,3309.129474,3312.379355,1598.541484,130613.2231,215450.7247,285789.4398,214669.8641,120662.6942,84342.13334,136586.2666,222821.3921
551.13184,C25 H29 O12 P,bzglu#8,benzoic acid (x2) isovaleric acid,benzoate,isovaleric_acid,benzoic_acid,AA,AA,,10.15,0,0,0,1481.538239,465714.3196,844102.4417,400665.8349,517218.7328,565499.6284,505345.3592,382407.7329,191211.9386
549.09104,C23 H23 O12 N2 P,bzglu#9,benzoic acid pyrrolic acid (x2),benzoate,pyrrolic_acid,pyrrolic_acid,AA,AA,,10.63,0,0,0,0,67497.36296,63292.59712,1889.086345,13249.01403,531614.0866,847968.4848,157149.4214,3062.583175
583.11177,C27H25N2O11P,higlu#3,hydoxyindole nicotinc acid benzoic acid,hydroxyindole,benzoic_acid,nicotinic_acid,AA,AA,,10.41,0,0,0,0,473583.37,694984.6722,189784.0574,255663.7204,676630.7118,827320.9355,230381.3154,168617.6812
720.24212,C34 H44 O14 N P,iglas#101,indole ascr#1 benzoic acid,indole,NA,NA,,,,11.8,0,0,0,0,459454.9421,766914.666,71769.69242,167267.3546,486262.7875,684395.8161,191880.5797,43343.13665
720.24212,C34 H44 O14 N P,iglas#101,indole ascr#1 benzoic acid,indole,NA,NA,,,,12.16,389242.2154,450546.8193,261744.8447,126103.213,297605.8656,516345.942,65982.71464,108984.7697,435561.3888,592989.169,159355.2058,40450.67856
746.25777,C36 H46 O14 N P,iglas#301,indole ascr#3 benzoic acid,indole,NA,NA,,,,12.48,0,0,0,708.4409159,515254.8587,834792.6778,35992.40321,113638.1434,1137105.19,1402961.687,170269.8555,23875.12887
746.25777,C36 H46 O14 N P,iglas#301,indole ascr#3 benzoic acid,indole,NA,NA,,,,14.11,641371.4092,739184.7322,353933.4106,122489.0863,478867.2802,715706.2214,90116.26722,250057.4868,564460.9,709516.7754,234713.8594,92132.0813
733.23737,C34 H43 O14 N2 P,iglas#701,indole ascr#7 anthranilic acid,indole,NA,NA,,,,11.36,0,0,667.6206115,0,512571.8651,953937.1883,209604.8718,283035.6497,990500.5272,1094462.067,461881.1746,173915.8315
718.22647,C34 H42 O14 N P,iglas#702,indole ascr#7 benzoic acid,indole,NA,NA,,,,11.63,0,0,0,0,610271.2061,1019002.191,82464.84259,222687.9367,1161805.982,1525677.493,265358.4008,61556.70303
278.1034,C14H17NO5,iglu#1,,indole,NA,NA,,,,7.32,6743483.128,8772931.928,31926644.55,25937305.88,18845709.43,22186724.03,24921702.58,22314759.55,15556670.89,15985855.1,30051123.35,23617709.71
451.09064,C19H21N2O9P,iglu#101,indole pyrrolic acid,indole,pyrrolic_acid,NA,AA,,,9.48,646.2866909,3488.512615,1173.935833,0,1345668.693,2279322.045,318176.118,547771.1607,5720485.948,6989431.756,2828769.721,229577.4227
462.09539,C21H22NO9P,iglu#121,indole benzoic acid,indole,benzoic_acid,NA,AA,,,10.28,9819.117346,31039.3848,30095.92847,13913.22094,17571598.86,30216043.24,9115293.955,12017089.89,33564444.11,38518345.47,14937751.89,4436360.261
442.12669,C19 H26 O9 N P,iglu#141,indole isovaleric acid,indole,isovaleric_acid,NA,SCFA,,13C5 from 13C6-L-leucine,10.54,462.3821841,0,514.6764473,0,461792.9171,862123.6688,962064.8746,715009.8912,503808.2085,331495.6219,393432.9385,403921.9826
476.11104,C22 H24 O9 N P,iglu#16,indole phenyacetic acid,indole,phenylacetic_acid,NA,AA,,,10.79,0,0,0,0,293157.2797,488038.0998,337282.8838,282695.6992,747939.9328,787612.8072,464903.3411,157872.8627
478.09031,C21 H22 O10 N P,iglu#181,indole hydroxybenozoic acid,indole,hydroxybenzoic_acid,NA,AA,,,9.31,2699.646171,9988.575547,6585.171642,3643.532806,840328.1142,1376812.038,475449.243,526087.8962,1320962.811,1643258.334,744158.932,366561.8087
519.11686,C23 H23 O10 N2 P,iglu#19,indole propionic acid nicotinic acid,indole,nicotinic_acid,propionic_acid,AA,SCFA,,10.51,0,379.5914919,546.7173994,0,218573.262,374165.6391,147267.9373,199971.6593,220758.7296,173303.2324,107894.4794,98660.80846
358.06973,C14H18NO8P,iglu#2,,indole,NA,NA,,,,7.14,246549051.2,257655831.7,186847143.8,194917966.2,141186655.9,225280859,191881647,169344062.7,196016658.7,192988489.5,200860728.4,148161869
544.11211,C24 H24 O10 N3 P,iglu#27,indole pyrrolic acid (x2),indole,pyrrolic_acid,pyrrolic_acid,AA,AA,,11.53,0,0,0,0,320213.871,446007.3502,14411.17986,66870.16203,2529370.692,3847456.845,1121893.505,14167.05648
544.13726,C26 H28 O10 N P,iglu#28,indole benzoic acid tiglic acid,indole,tiglic_acid,benzoic_acid,Unsat_OA,AA,,13.05,5169.383176,11392.04426,5990.267925,7166.666567,6062334.452,11101306.3,2752106.51,4465425.541,7465242.963,7142359.587,3487126.245,1368415.226
545.13251,C25 H27 O10 N2 P,iglu#30,indole nicotinic acid tiglic acid,indole,nicotinic_acid,tiglic_acid,AA,Unsat_OA,,11.48,0,697.7307175,0,0,2526367.198,4402413.773,1756673.52,1924163.958,2502989.017,2157692.172,1310546.464,1210311.146
546.15291,C26 H30 O10 N P,iglu#32,indole benzoic acid isovaleric acid,indole,isovaleric_acid,benzoic_acid,SCFA,AA,,13.42,5460.592511,11864.52398,8736.330497,23012.72188,1292474.038,2526608.447,577055.7886,975237.9967,1999104.402,1546392.648,729614.3852,270915.1224
547.14816,C25H29N2O10P,iglu#36,indole nicotinic acid isovaleric acid,indole,nicotinic_acid,isovaleric_acid,AA,SCFA,,11.82,5811.668194,5735.017338,1745.158417,6121.328286,555201.7437,908591.8174,312496.2522,402031.4564,527708.0884,448200.0906,220242.3331,172131.4482
555.11686,C26 H25 O10 N2 P,iglu#37,indole pyrrolic acid benzoic acid,indole,benzoic_acid,pyrrolic_acid,AA,AA,,12.25,0,0,0,0,1081933.479,1547318.314,60306.04259,223693.5523,3542359.029,5984932.896,1074802.673,45944.47475
556.11211,C25 H24 O10 N3 P,iglu#39,indole nicotinic acid pyrrolic acid,indole,pyrrolic_acid,nicotinic_acid,AA,AA,,10.5,0,0,0,0,1012927.909,1421948.175,153919.3872,342696.8633,3040093.246,3703612.542,1121656.627,119027.2427
477.10629,C21H23N2O9P,iglu#401,indole anthranilic acid,indole,anthranilic_acid,NA,AA,,,10.89,103802683.2,112416480.7,75447198.12,93458348.35,68744476.89,101349851.4,69414943.2,81803218.31,72534808.08,54628329.49,90987777.07,71025442.86
582.12776,C27 H26 O10 N3 P,iglu#41,indole nicotinic acid anthranilic acid,indole,nicotinic_acid,anthranilic_acid,AA,AA,,10.95,709.040859,0,0,0,5041277.208,9117797.24,4064103.913,4688678.47,8197127.276,8424526.976,5387146.653,3885318.824
559.14871,C26H29N2O10P,iglu#42,"indole, antranilic acid, tiglic acid",indole,tiglic_acid,anthranilic_acid,Unsat_OA,AA,,12.74,0,0,0,0,8749242.897,15322205.24,7068622.015,9161545.769,11796593.25,8542913.654,8567935.072,5857016.295
561.16381,C26 H31 O10 N2 P,iglu#44,indole anthranilic acid isovaleric acid,indole,anthranilic_acid,isovaleric_acid,AA,SCFA,,13.11,0,0,0,0,596125.3459,1106762.058,563759.4422,703449.2035,865845.0487,551792.9939,571247.2733,419569.4443
562.15906,C25H30N3O10P,iglu#45,indole isovaleric acid uraconic acid,indole,isovaleric_acid,uraconic_acid,SCFA,AA,,12.74,0,0,0,0,53866.10417,100453.4288,46053.51701,59633.92634,77909.0328,57921.18718,46062.29254,35923.38363
563.14307,C25 H29 O11 N2 P,iglu#47,indole anthranilic acid hydroxybutirc acid,indole,hydroxybutyric_acid,anthranilic_acid,AA,AA,,10.91,0,0,0,0,305486.9024,549863.5305,332814.2835,350366.6918,484470.9824,406449.8677,302663.2295,247697.4064
566.12161,C28 H26 O10 N P,iglu#50,indole benzoic acid (x2),indole,benzoic_acid,benzoic_acid,AA,AA,,13.26,0,0,0,0,4608149.59,6687001.476,648253.1723,1485711.053,8083179.345,10082446.93,1876054.054,334498.403
567.11686,C27 H23 O10 N2 P,iglu#52,indole benzoic nicotinic acid,indole,benzoic_acid,nicotinic_acid,AA,AA,,11.24,0,586.8546019,0,0,5814756.371,9513518.703,2381297.909,3262760.58,7597589.415,8151900.971,2335623.819,1309568.21
